"Barnes, Scottie",86,-0.09,"Barnes, Scottie",TOR,21,78,34.9,15.4,0.82,.283,6.7,4.8,1.09,0.79,.457,13.2,.767,3.2,2.0,2.2,-0.24,-0.75,0.34,0.36,0.29,0.29,-0.69,-0.30,-0.09
"White, Derrick",87,-0.09,"White, Derrick",BOS,28,82,28.3,12.4,1.82,.381,3.6,3.9,0.65,0.93,.462,9.2,.875,2.3,1.2,2.2,-0.69,0.18,-0.94,-0.01,-0.83,0.55,-0.42,0.47,0.93
"Wood, Christian",88,-0.09,"Wood, Christian",DAL,27,67,25.9,16.6,1.57,.376,7.3,1.8,0.45,1.07,.515,11.5,.772,4.2,1.8,2.5,-0.04,-0.06,0.60,-0.95,-1.34,0.84,0.33,-0.33,0.15
"McCollum, CJ",89,-0.09,"McCollum, CJ",NOR,31,76,35.4,20.8,2.79,.386,4.3,5.7,0.95,0.51,.436,17.9,.769,3.2,2.4,2.1,0.60,1.08,-0.62,0.78,-0.07,-0.26,-1.46,-0.28,-0.58
"Porter, Kevin",90,-0.09,"Porter, Kevin",HOU,22,59,34.3,19.2,2.39,.366,5.3,5.7,1.39,0.29,.442,15.0,.784,4.5,3.2,2.6,0.34,0.71,-0.22,0.79,1.05,-0.70,-1.08,-0.20,-1.51
"Huerter, Kevin",91,-0.10,"Huerter, Kevin",SAC,24,75,29.4,15.2,2.73,.402,3.3,2.9,1.07,0.32,.485,11.5,.725,1.7,1.3,2.4,-0.26,1.02,-1.03,-0.44,0.23,-0.63,-0.15,-0.36,0.77
"Hart, Josh",92,-0.10,"Hart, Josh",NYK,27,76,32.3,9.8,0.80,.372,7.8,3.8,1.16,0.28,.529,6.8,.750,2.3,1.5,2.6,-1.09,-0.76,0.80,-0.06,0.46,-0.72,0.32,-0.32,0.47
"Dinwiddie, Spencer",93,-0.11,"Dinwiddie, Spencer",BKN,29,79,34.5,17.3,2.29,.369,3.4,6.5,0.85,0.30,.438,13.3,.812,4.2,1.8,2.4,0.06,0.61,-1.01,1.13,-0.32,-0.67,-1.04,0.13,0.13
"Conley, Mike",94,-0.11,"Conley, Mike",MIN,35,68,30.5,12.1,2.07,.393,2.7,6.7,1.12,0.22,.432,9.1,.837,2.5,1.6,2.1,-0.74,0.41,-1.29,1.21,0.36,-0.83,-0.79,0.25,0.45
"Morant, Ja",95,-0.11,"Morant, Ja",MEM,23,61,31.9,26.2,1.51,.307,5.9,8.1,1.08,0.26,.466,19.9,.749,8.2,3.4,1.6,1.41,-0.11,0.00,1.83,0.27,-0.75,-0.77,-1.14,-1.74
"Fultz, Markelle",96,-0.12,"Fultz, Markelle",ORL,24,60,29.6,14.0,0.45,.310,3.9,5.7,1.45,0.43,.514,11.3,.783,2.4,2.3,2.2,-0.45,-1.09,-0.81,0.77,1.20,-0.41,0.31,-0.12,-0.47
